,,,,,,,,,,,,,,,,,,,,
,REPORT PRODUÇÃO ANTERIORES  - FECHAMENTO ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,impostada,Teórica,551,Parcial  ,Delta,,impostada,Teórica,226,Parcial  ,Delta,,,,,,,,,
,100,100,,82,-18,,204,204,,140,-64,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Giro linha Final,,Produção Anteriores,Giro Retrabalho,,,Giro linha Final,,Produção Anteriores,Giro Retrabalho,,,,,,,,,,
,0,,,0,,,0,,,0,,,,,,,,,,
,17:43:54,,,Wed     24/06/Wednesday,,,17:43:54,,,Wed     24/06/Wednesday,,,,,,732,,,,
,CONTABILIZANDO GIRO LINHA FINAL,,,-18,,,CONTABILIZANDO GIRO LINHA FINAL,,,-64,,,,,,509,,,513,91
,CONTABILIZANDO GIRO LINHA FINAL E RETRABALHO,,,-18,,,CONTABILIZANDO GIRO LINHA FINAL E RETRABALHO,,,-64,,,,,,-223,,,,
,,,,,,,,,,,,,,,,,,,,
,impostada,Teórica,521,Parcial  ,Delta,,impostada,Teórica,363 / 376,Parcial  ,Delta,,,,,,,,,
,168,168,,126,-42,,260,260,,161,-99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Giro linha Final,,Produção Anteriores,Giro Retrabalho,,,Giro linha Final,,Produção Anteriores,Giro Retrabalho,,,,,,,,,,
,0,,,0,,,0,,,0,,,,,,,,,,
,17:43:54,,,Wed     24/06/Wednesday,,,17:43:54,,,Wed     24/06/Wednesday,,,,,,,,,,
,CONTABILIZANDO GIRO LINHA FINAL,,,-42,,,CONTABILIZANDO GIRO LINHA FINAL,,,-99,,,,,,,                                                                                                                                                                                                 ,,,
,CONTABILIZANDO GIRO LINHA FINAL E RETRABALHO,,,-42,,,CONTABILIZANDO GIRO LINHA FINAL E RETRABALHO,,,-99,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
